Year,Quarter,District,Price
2002,Q3,Villaverde,1692.6
2002,Q4,Arganzuela,2656.7
2002,Q4,Barajas,2593.1
2002,Q4,Carabanchel,2069.5
2002,Q4,Centro,2789.5
2002,Q4,Chamartin,3529.2
2002,Q4,Chamberi,3353.4
2002,Q4,Ciudad Lineal,2818.5
2002,Q4,Fuencarral,2807.3
2002,Q4,Hortaleza,2757.7
2002,Q4,Latina,2168.6
2002,Q4,Madrid,2810.1
2002,Q4,Moncloa,2831.6
2002,Q4,Moratalaz,2315.4
2002,Q4,Puente de Vallecas,1980.6
2002,Q4,Retiro,3045.7
2002,Q4,Salamanca,3468.4
2002,Q4,San Blas,2346.3
2002,Q4,Tetuan,3024.2
2002,Q4,Usera,2032.1
2002,Q4,Vicalvaro,2040.5
2002,Q4,Villa de Vallecas,1862.8
2002,Q4,Villaverde,1736.5
2003,Q1,Arganzuela,2744.4
2003,Q1,Barajas,2605.7
2003,Q1,Carabanchel,2162.6
2003,Q1,Centro,2953.9
2003,Q1,Chamartin,3578.9
2003,Q1,Chamberi,3407.7
2003,Q1,Ciudad Lineal,2965.5
2003,Q1,Fuencarral,2951.2
2003,Q1,Hortaleza,2746.4
2003,Q1,Latina,2261.7
2003,Q1,Madrid,2925.4
2003,Q1,Moncloa,2976.6
2003,Q1,Moratalaz,2493.6
2003,Q1,Puente de Vallecas,2047.5
2003,Q1,Retiro,3132.3
2003,Q1,Salamanca,3721
2003,Q1,San Blas,2554.3
2003,Q1,Tetuan,2969.5
2003,Q1,Usera,2112.1
2003,Q1,Vicalvaro,2189.9
2003,Q1,Villa de Vallecas,2021
2003,Q1,Villaverde,1801.9
2003,Q2,Arganzuela,2845.1
2003,Q2,Barajas,2743.2
2003,Q2,Carabanchel,2240.6
2003,Q2,Centro,2965.1
2003,Q2,Chamartin,3676.7
2003,Q2,Chamberi,3613.8
2003,Q2,Ciudad Lineal,3078.6
2003,Q2,Fuencarral,2958.9
2003,Q2,Hortaleza,2863.3
2003,Q2,Latina,2365.7
2003,Q2,Madrid,3026.1
2003,Q2,Moncloa,3151.4
2003,Q2,Moratalaz,2531.1
2003,Q2,Puente de Vallecas,2197.9
2003,Q2,Retiro,3259.1
2003,Q2,Salamanca,3733.7
2003,Q2,San Blas,2581.3
2003,Q2,Tetuan,3069.3
2003,Q2,Usera,2197.5
2003,Q2,Vicalvaro,2267.3
2003,Q2,Villa de Vallecas,2111.4
2003,Q2,Villaverde,1888.7
2003,Q3,Arganzuela,2999
2003,Q3,Barajas,2935.2
2003,Q3,Carabanchel,2354.4
2003,Q3,Centro,3129.1
2003,Q3,Chamartin,3849.8
2003,Q3,Chamberi,3729.4
2003,Q3,Ciudad Lineal,3079
2003,Q3,Fuencarral,3063.6
2003,Q3,Hortaleza,2936
2003,Q3,Latina,2445.3
2003,Q3,Madrid,3161.1
2003,Q3,Moncloa,3236.5
2003,Q3,Moratalaz,2534.9
2003,Q3,Puente de Vallecas,2298.8
2003,Q3,Retiro,3395.5
2003,Q3,Salamanca,3915.1
2003,Q3,San Blas,2650.6
2003,Q3,Tetuan,3271.8
2003,Q3,Usera,2381
2003,Q3,Vicalvaro,2555.8
2003,Q3,Villa de Vallecas,2250.2
2003,Q3,Villaverde,1930.5
2003,Q4,Arganzuela,3144.5
2003,Q4,Barajas,2952.5
2003,Q4,Carabanchel,2496.4
2003,Q4,Centro,3196.7
2003,Q4,Chamartin,4041.1
2003,Q4,Chamberi,3962.5
2003,Q4,Ciudad Lineal,3311.6
2003,Q4,Fuencarral,3283
2003,Q4,Hortaleza,3045.9
2003,Q4,Latina,2500.4
2003,Q4,Madrid,3295.7
2003,Q4,Moncloa,3362.1
2003,Q4,Moratalaz,2673.4
2003,Q4,Puente de Vallecas,2430.2
2003,Q4,Retiro,3598
2003,Q4,Salamanca,3960
2003,Q4,San Blas,2749.5
2003,Q4,Tetuan,3309.7
2003,Q4,Usera,2424.2
2003,Q4,Vicalvaro,2811.7
2003,Q4,Villa de Vallecas,2389.8
2003,Q4,Villaverde,2132.7
2004,Q1,Arganzuela,3236
2004,Q1,Barajas,2928
2004,Q1,Carabanchel,2570.3
2004,Q1,Centro,3347.4
2004,Q1,Chamartin,4078.5
2004,Q1,Chamberi,4016
2004,Q1,Ciudad Lineal,3230.9
2004,Q1,Fuencarral,3295.6
2004,Q1,Hortaleza,3118.8
2004,Q1,Latina,2430.2
2004,Q1,Madrid,3369.3
2004,Q1,Moncloa,3630
2004,Q1,Moratalaz,2746.6
2004,Q1,Puente de Vallecas,2492.4
2004,Q1,Retiro,3741.5
2004,Q1,Salamanca,4140.6
2004,Q1,San Blas,2897.7
2004,Q1,Tetuan,3462.1
2004,Q1,Usera,2520.8
2004,Q1,Vicalvaro,2747.1
2004,Q1,Villa de Vallecas,2356.6
2004,Q1,Villaverde,2280.6
2004,Q2,Arganzuela,3277.3
2004,Q2,Barajas,2975.7
2004,Q2,Carabanchel,2620.6
2004,Q2,Centro,3436.7
2004,Q2,Chamartin,4180.4
2004,Q2,Chamberi,4066.4
